Lyric,Song,Track Number,Album,Sad ,Mad,Scared,Peaceful,Powerful,Joyful
"Godamn, man child",Norman Fucking Rockwell,1,NFR!,0,1,0,0,0,0
"You fucked me so good that I almost said, ""I love you""",Norman Fucking Rockwell,1,NFR!,0,0,0,0,0,1
You're fun and you're wild,Norman Fucking Rockwell,1,NFR!,0,0,0,0,0,1
But you don't know the half of the shit that you put me through,Norman Fucking Rockwell,1,NFR!,0,1,0,0,0,0
Your poetry's bad and you blame the news,Norman Fucking Rockwell,1,NFR!,0,1,0,0,0,0
But I can't change that and I can't change your mood,Norman Fucking Rockwell,1,NFR!,0,0,1,0,0,0
"Ah-ah, oh",Norman Fucking Rockwell,1,NFR!,0,0,0,0,0,0
'Cause you're just a man,Norman Fucking Rockwell,1,NFR!,0,0,0,1,0,0
It's just what you do,Norman Fucking Rockwell,1,NFR!,0,0,0,1,0,0
Your head in your hands,Norman Fucking Rockwell,1,NFR!,0,0,0,0,0,0
As you color me blue,Norman Fucking Rockwell,1,NFR!,1,0,0,0,0,0
"Yeah, you're just a man",Norman Fucking Rockwell,1,NFR!,0,0,0,0,0,0
All through and through,Norman Fucking Rockwell,1,NFR!,0,0,0,0,0,0
Your head in your hands,Norman Fucking Rockwell,1,NFR!,0,0,0,0,0,0
As you color me blue,Norman Fucking Rockwell,1,NFR!,1,0,0,0,0,0
"Blue, blue, blue",Norman Fucking Rockwell,1,NFR!,1,0,0,0,0,0
"Goddamn, man child",Norman Fucking Rockwell,1,NFR!,0,1,0,0,0,0
You act like a kid even though you stand six foot two,Norman Fucking Rockwell,1,NFR!,0,0,0,0,0,0
"Self-loathing poet, resident Laurel Can-you-know-it-all",Norman Fucking Rockwell,1,NFR!,0,0,1,0,0,0
You talk to the walls when the party gets bored of you,Norman Fucking Rockwell,1,NFR!,0,0,0,0,1,0
"But I don't get bored, I just see it through",Norman Fucking Rockwell,1,NFR!,0,0,0,1,0,0
Why wait for the best when I could have you?,Norman Fucking Rockwell,1,NFR!,0,0,0,0,0,1
You,Norman Fucking Rockwell,1,NFR!,0,0,0,0,0,0
'Cause you're just a man,Norman Fucking Rockwell,1,NFR!,0,0,0,0,0,0
It's just what you do,Norman Fucking Rockwell,1,NFR!,0,0,0,0,0,0
Your head in your hands,Norman Fucking Rockwell,1,NFR!,1,0,0,0,0,0
As you color me blue,Norman Fucking Rockwell,1,NFR!,0,0,0,0,0,0
"Yeah, you're just a man",Norman Fucking Rockwell,1,NFR!,0,0,0,0,0,0
All through and through,Norman Fucking Rockwell,1,NFR!,0,0,0,0,0,0
Your head in your hands,Norman Fucking Rockwell,1,NFR!,1,0,0,0,0,0
As you color me blue,Norman Fucking Rockwell,1,NFR!,1,0,0,0,0,0
"Blue, blue",Norman Fucking Rockwell,1,NFR!,0,1,0,0,0,0
You make me blue,Norman Fucking Rockwell,1,NFR!,1,0,0,0,0,0
"Blue, blue",Norman Fucking Rockwell,1,NFR!,1,0,0,0,0,0
"Blue, blue, blue, blue",Norman Fucking Rockwell,1,NFR!,1,0,0,0,0,0
You took my sadness out of context,Mariners Apartment Complex,2,NFR!,1,0,0,0,0,0
At the Mariners Apartment Complex,Mariners Apartment Complex,2,NFR!,0,0,0,0,0,0
I ain't no candle in the wind,Mariners Apartment Complex,2,NFR!,0,0,0,0,1,0
"I'm the bolt, the lightning, the thunder",Mariners Apartment Complex,2,NFR!,0,0,0,0,1,0
Kind of girl who's gonna make you wonder,Mariners Apartment Complex,2,NFR!,0,0,0,0,1,0
Who you are and who you've been,Mariners Apartment Complex,2,NFR!,0,0,0,0,0,0
And who I've been is with you on these beaches,Mariners Apartment Complex,2,NFR!,0,0,0,1,0,0
"Your Venice bitch, your die-hard, your weakness",Mariners Apartment Complex,2,NFR!,0,0,0,0,1,0
Maybe I could save you from your sins,Mariners Apartment Complex,2,NFR!,0,0,0,0,1,0
"So, kiss the sky and whisper to Jesus",Mariners Apartment Complex,2,NFR!,0,0,0,1,0,0
"My, my, my, you found this, you need this",Mariners Apartment Complex,2,NFR!,0,0,0,0,0,0
"Take a deep breath, baby, let me in",Mariners Apartment Complex,2,NFR!,0,0,0,0,1,0
